Id,Label,timeset,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
4909683448,4909683448,,9,1,10,28,1,1,1,0,0.00105,0.000089
1022529199,1022529199,,0,3,3,74,3,0.48,0.569444,0,0,0.00003
1065481304,1065481304,,0,2,2,28,3,0.458333,0.530303,0,0,0.00003
877884232722501632,877884232722501632,,0,9,9,28,2,0.909091,0.95,0,0,0.00003
481586123,481586123,,0,2,2,28,3,0.571429,0.708333,0,0,0.00003
2848334848,2848334848,,0,7,7,142,3,0.75,0.87037,0,0,0.00003
779345912430792704,779345912430792704,,0,5,5,17,3,0.5,0.598039,0,0,0.00003
2838925913,2838925913,,0,6,6,74,2,0.75,0.833333,0,0,0.00003
792457828032217089,792457828032217089,,0,5,5,28,4,0.46875,0.594444,0,0,0.00003
2205950088,2205950088,,0,24,24,28,4,0.517544,0.649718,0,0,0.00003
1431189150,1431189150,,0,14,14,17,2,0.9375,0.966667,0,0,0.00003
833426540486651904,833426540486651904,,0,9,9,17,3,0.583333,0.690476,0,0,0.00003
760283410900328448,760283410900328448,,0,9,9,17,2,0.909091,0.95,0,0,0.00003
4873896923,4873896923,,0,36,36,116,4,0.569231,0.703829,0,0,0.00003
224702381,224702381,,0,3,3,17,2,0.8,0.875,0,0,0.00003
208577217,208577217,,0,6,6,28,4,0.5,0.638889,0,0,0.00003
4486646963,4486646963,,0,5,5,28,2,0.857143,0.916667,0,0,0.00003
811608886063091712,811608886063091712,,0,9,9,17,6,0.28125,0.408148,0,0,0.00003
4871071691,4871071691,,100,0,100,28,0,0,0,0,0.014343,0.001216
781136275256578049,781136275256578049,,0,3,3,28,1,1,1,0,0,0.00003
157748573,157748573,,0,2,2,28,1,1,1,0,0,0.00003
1976332194,1976332194,,0,1,1,28,1,1,1,0,0,0.00003
825352768210759680,825352768210759680,,0,2,2,28,1,1,1,0,0,0.00003
4197260183,4197260183,,0,7,7,116,2,0.818182,0.888889,0,0,0.00003
4217940664,4217940664,,0,6,6,142,6,0.272222,0.357823,0,0,0.00003
158517384,158517384,,0,3,3,28,4,0.428571,0.534722,0,0,0.00003
609771750,609771750,,0,3,3,28,3,0.625,0.766667,0,0,0.00003
4729318888,4729318888,,0,5,5,28,4,0.571429,0.760417,0,0,0.00003
870397502452895748,870397502452895748,,0,2,2,28,3,0.571429,0.708333,0,0,0.00003
